id,��������,����,�����,������,�������,� �������
80995286,Сетевой адаптер WiFi TL-WN821N N300 USB 2.0 (ант.внутр.),840.0,TP-Link,41,5,2
89141158,Повторитель беспроводного сигнала RE450 AC1750 10 100 1000BA…,5423.0,TP-Link,28,5,19
89128765,Mesh роутер Deco P9 DECO P9(2-PACK),14649.0,TP-Link,24,5,112
89149260,Сетевой адаптер WiFi Archer T2U NANO USB 2.0,1348.0,TP-Link,18,4,7
110004183,Сетевой адаптер WiFi Archer T9UH USB 3.0,3889.0,TP-Link,21,5,24
110004829,Сетевой адаптер WiFi TL-WN881ND PCI Express x1,1291.0,TP-Link,20,4,11
89132081,Коммутатор TL-SF1006P 6x100Mb 4PoE+ 67W неуправляемый,3717.0,TP-Link,25,0,30
134336087,"Wi-Fi роутер TL-MR150, черный",6869.0,TP-Link,12,5,53
89147733,Сетевой адаптер Gigabit Ethernet TG-3468 PCI Express,1018.0,TP-Link,18,4,7
154036872,Сетевой адаптер WiFi Archer T2U NANO AC600 USB 2.0,1473.0,TP-Link,15,0,12
89141837,Повторитель беспроводного сигнала RE505X AX1500 10 100 1000B…,6247.0,TP-Link,28,4,23
64893697,Адаптер USB Archer T2U,1357.0,TP-Link,18,0,6
80995278,Сетевой адаптер WiFi Archer T2U AC600 USB 2.0,1630.0,TP-Link,22,0,2
110407186,Точка доступа TL-WA801N,2440.0,TP-Link,0,0,56
89133714,"Коммутатор TL-SF1024, 24 порта RJ45 10 100 Мбит с",5918.0,TP-Link,28,0,106
148973640,Роутер беспроводной TL-WR841N N300 10 100BASE-TX,2200.0,TP-Link,80,1,55
33149406,"Wi-Fi роутер TL-WR840N, белый",2224.0,TP-Link,0,0,46
113035299,Роутер WiFi M7200 LTE-Advanced,5320.0,TP-Link,0,5,8
89129803,"Mesh роутер Deco X60 (3-Pack) 2.4, 5 ГГц Mu-Mimo",38465.0,TP-Link,26,0,135
64733813,Роутер бесшовный Mesh Deco E4,7817.0,TP-Link,24,0,102
89128250,Mesh роутер Deco M4 DECO M4(3-PACK),16125.0,TP-Link,28,0,118
89135417,Коммутатор TL-SG1008MP 8G 8PoE+ 126W неуправляемый,8591.0,TP-Link,29,4,96
89128348,Mesh роутер Deco M5 DECO M5(2-PACK),13582.0,TP-Link,25,5,63
89135157,Коммутатор TL-SG1005P 5G 4PoE 56W неуправляемый,3917.0,TP-Link,26,0,31
89136035,Коммутатори TL-SG108PE 8G 4PoE 55W,6609.0,TP-Link,28,0,27
110006557,Точка доступа TL-WA801N,2022.0,TP-Link,17,0,57
80989458,Роутер беспроводной Archer AX73 10 100 1000BASE-TX,14630.0,TP-Link,20,0,62
105207257,Коммутатор TL-SF1005D,1331.0,TP-Link,0,0,15
89142328,Сетевой адаптер UE300C,1838.0,TP-Link,26,0,3
80970881,Коммутатор неуправляемый LS1008G,1680.0,TP-Link,49,0,6
133550065,"Точка доступа EAP245(5-pack), белый",57170.0,TP-Link,36,0,204
137654788,Коммутатор JetStream 48-портовый (TL-SG3452),48670.0,TP-Link,0,0,202
79532448,"Бесшовный Mesh роутер Deco X60(2-Pack), AX3000, белый",33730.0,TP-Link,0,0,150
89144843,Роутер беспроводной Archer AX6000,27758.0,TP-Link,26,0,139
89136855,КоммутаторTL-SG2210MP 8G 2SFP 8PoE+ 150W,22854.0,TP-Link,29,0,82
150836783,Wi-Fi точка доступа CPE510,5910.0,TP-Link,0,0,23
78788434,"Сетевой адаптер HomePlug AV TL-PA4010PKIT Ethernet, шт",5646.0,TP-Link,0,0,38
79986126,Гигабитный Ethernet медиаконвертер,5600.0,TP-Link,0,0,11
75438023,"Коммутатор TL-SF1016DS 16x100Mb неуправляемый, шт",5321.0,TP-Link,0,0,104
110005795,Потолочная точка доступа Wi-Fi EAP115 N300,3642.0,TP-Link,32,0,48
89134437,Коммутатор TL-SG1005LP 5G 4PoE+ 40W,3592.0,TP-Link,28,0,36
68607765,Сетевой адаптер WiFi Archer T2U AC600 USB 2.0,2313.0,TP-Link,0,0,2
65907425,Роутеры Archer C24,1920.0,TP-Link,0,4,52
131076159,Камера видеонаблюдения IP Tapo C310,5060.0,TP-Link,41,5,95
89145756,Роутер беспроводной двухдиапазонный Archer AX50 AX3000 10 10…,6018.0,TP-Link,26,2,61
79532452,Повторитель беспроводного сигнала,1660.0,TP-Link,0,5,18
76159735,Wi-Fi-адаптеры TL-WA850RE,1760.0,TP-Link,0,5,16
123780277,5-портовый коммутатор TL-SG105,1399.0,TP-Link,0,0,22
123825846,"Wi-Fi роутер TL-WR841N, N300",1899.0,TP-Link,0,0,25
113970664,Коммутаторы LS1005G 5G,1204.0,TP-Link,0,5,14
123724598,Wi-Fi Усилитель TL-WA850RE,1799.0,TP-Link,0,0,16
97186085,Гигабитный Wi‑Fi 6 роутер Archer AX73,12999.0,TP-Link,0,5,102
123811567,"Wi‑Fi роутер Archer AX55, AX3000",8999.0,TP-Link,0,5,48
151208752,Уличная Wi-Fi IP-камера Tapo C320WS,6830.0,TP-Link,0,0,40
162033989,Роутер для интернета вайфай wi fi Archer AX90 AX6600,34395.0,TP-Link,57,0,215
123728869,Wi-Fi USB-адаптер TL-WN823N,999.0,TP-Link,0,5,14
80995277,Сетевой адаптер WiFi Archer T4E AC1200 PCI Express (ант.внеш…,2650.0,TP-Link,25,0,19
63103867,"Wi-Fi роутер AX6000, черный (ARCHER AX6000)",32540.0,TP-Link,0,0,144
76159707,Wi-Fi-адаптеры TL-WA860RE,2121.0,TP-Link,0,4,16
79530886,Wi-Fi MESH система Deco X60 (3 шт),44790.0,TP-Link,0,0,23
63103869,"Wi-Fi роутер AX1500, черный (ARCHER AX10)",5130.0,TP-Link,0,5,68
99839689,Роутер TL-MR150 Black,5290.0,TP-Link,0,5,30
133030599,"Wi-Fi роутер Archer C64, черный",3686.0,TP-Link,12,5,46
85484349,Wi-Fi роутер двухдиапазонный Archer A5,3440.0,TP-Link,0,5,26
110719168,"Камера видеонаблюдения, Wi-Fi камера Tapo C210",3840.0,TP-Link,0,4,23
74498745,Точка доступа CPE510 N300 10 100BASE-TX белый,6362.0,TP-Link,0,5,50
43532645,Маршрутизатор беспроводной Archer C6,4380.0,TP-Link,12,4,65
110407175,Mesh система Deco E4 (3-PACK) белый,12910.0,TP-Link,0,0,147
53878455,MR150 3G 4G Wi-Fi роутер,8201.0,TP-Link,0,0,34
53390609,Беспроводной Wi-Fi роутер MR150,8101.0,TP-Link,0,0,34
90395050,Wi-Fi роутер TL-MR150 V2,7998.0,TP-Link,0,0,7
79745233,"Бесшовный Mesh роутер DECO X20(2-PACK), AX1800, белый",20250.0,TP-Link,0,0,120
81429797,Повторитель беспроводного сигнала TL-WA854RE N300 Wi-Fi белы…,1360.0,TP-Link,45,5,15
80989469,"Маршрутизатор беспроводной TL-WR841N, белый",2340.0,TP-Link,19,5,33
145904580,Беспроводной роутер ARCHER AX53,6730.0,TP-Link,19,5,63
44468113,Роутер,2451.0,TP-Link,12,5,39
63103872,"Wi-Fi роутер AX5400, черный (ARCHER AX73)",12040.0,TP-Link,0,5,111
159005468,Роутер EC220-F5 Wi-Fi White,2190.0,TP-Link,0,5,16
44468138,Роутер,4099.0,TP-Link,12,5,84
123126119,Роутер TL-WR841N White,1790.0,TP-Link,0,0,1
109151273,Усилитель сигнала Wi-Fi White,2090.0,TP-Link,0,5,60
78788481,Сетевой адаптер WiFi Archer T9UH USB 3.0 (ант.внутр.) 4ант…,4786.0,TP-Link,0,5,43
